provider_state,drg_definition,drg_definition
OH,378 - G.I. HEMORRHAGE W CC,111
OH,291 - HEART FAILURE & SHOCK W MCC,111
TX,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",111
TX,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,111
FL,379 - G.I. HEMORRHAGE W/O CC/MCC,111
NY,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,111
CA,390 - G.I. OBSTRUCTION W/O CC/MCC,111
TX,552 - MEDICAL BACK PROBLEMS W/O MCC,110
PA,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,110
OH,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,110
OH,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,110
NY,552 - MEDICAL BACK PROBLEMS W/O MCC,110
CA,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,110
FL,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,110
IL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,110
PA,812 - RED BLOOD CELL DISORDERS W/O MCC,110
TX,101 - SEIZURES W/O MCC,109
NY,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,108
TX,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,108
IL,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,108
FL,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",108
TX,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,107
IL,683 - RENAL FAILURE W CC,107
IL,313 - CHEST PAIN,107
CA,300 - PERIPHERAL VASCULAR DISORDERS W CC,107
CA,252 - OTHER VASCULAR PROCEDURES W MCC,107
FL,202 - BRONCHITIS & ASTHMA W CC/MCC,107
NY,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",106
OH,293 - HEART FAILURE & SHOCK W/O CC/MCC,106
OH,312 - SYNCOPE & COLLAPSE,106
IL,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,106
OH,683 - RENAL FAILURE W CC,106
CA,379 - G.I. HEMORRHAGE W/O CC/MCC,105
TX,305 - HYPERTENSION W/O MCC,105
NY,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,105
PA,682 - RENAL FAILURE W MCC,105
FL,303 - ATHEROSCLEROSIS W/O MCC,105
FL,305 - HYPERTENSION W/O MCC,105
IL,069 - TRANSIENT ISCHEMIA,105
PA,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",104
NY,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,104
CA,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,104
PA,069 - TRANSIENT ISCHEMIA,104
FL,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,104
FL,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,103
OH,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,103
IL,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,102
FL,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,102
NY,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,102
FL,252 - OTHER VASCULAR PROCEDURES W MCC,102
FL,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,102
NY,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,101
NY,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,101
TX,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",101
OH,812 - RED BLOOD CELL DISORDERS W/O MCC,101
PA,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,101
IL,948 - SIGNS & SYMPTOMS W/O MCC,100
GA,194 - SIMPLE PNEUMONIA & PLEURISY W CC,100
IL,552 - MEDICAL BACK PROBLEMS W/O MCC,100
NY,377 - G.I. HEMORRHAGE W MCC,100
NY,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",100
TX,202 - BRONCHITIS & ASTHMA W CC/MCC,100
PA,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,99
CA,202 - BRONCHITIS & ASTHMA W CC/MCC,99
OH,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,99
FL,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,99
TX,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,99
PA,313 - CHEST PAIN,99
PA,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,99
GA,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,99
PA,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,98
TX,253 - OTHER VASCULAR PROCEDURES W CC,98
OH,313 - CHEST PAIN,98
IL,682 - RENAL FAILURE W MCC,97
NY,149 - DYSEQUILIBRIUM,97
GA,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",97
FL,253 - OTHER VASCULAR PROCEDURES W CC,97
NY,303 - ATHEROSCLEROSIS W/O MCC,97
GA,292 - HEART FAILURE & SHOCK W CC,97
NY,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,96
CA,811 - RED BLOOD CELL DISORDERS W MCC,96
CA,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,96
NY,389 - G.I. OBSTRUCTION W CC,96
TX,379 - G.I. HEMORRHAGE W/O CC/MCC,96
IL,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,96
FL,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,96
NY,379 - G.I. HEMORRHAGE W/O CC/MCC,95
TN,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,95
IL,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,95
NY,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",95
PA,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,95
TX,252 - OTHER VASCULAR PROCEDURES W MCC,94
OH,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,94
IL,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,94
IL,101 - SEIZURES W/O MCC,94
PA,552 - MEDICAL BACK PROBLEMS W/O MCC,94
OH,682 - RENAL FAILURE W MCC,94
GA,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",94
IL,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,93
OH,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,93
FL,536 - FRACTURES OF HIP & PELVIS W/O MCC,93
OH,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,93
FL,149 - DYSEQUILIBRIUM,93
PA,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,93
CA,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,93
CA,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,93
GA,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,93
NY,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,93
FL,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",92
NY,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,92
TN,194 - SIMPLE PNEUMONIA & PLEURISY W CC,92
OH,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,92
GA,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,92
IL,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",92
FL,811 - RED BLOOD CELL DISORDERS W MCC,91
OH,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,91
CA,253 - OTHER VASCULAR PROCEDURES W CC,91
FL,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,91
FL,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,91
IL,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",91
OH,069 - TRANSIENT ISCHEMIA,90
IL,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,90
NY,300 - PERIPHERAL VASCULAR DISORDERS W CC,90
NY,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,90
IL,638 - DIABETES W CC,90
GA,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,90
TN,292 - HEART FAILURE & SHOCK W CC,90
MI,194 - SIMPLE PNEUMONIA & PLEURISY W CC,89
IL,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",89
GA,603 - CELLULITIS W/O MCC,89
MI,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,89
OH,552 - MEDICAL BACK PROBLEMS W/O MCC,89
GA,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,89
CA,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,89
CA,303 - ATHEROSCLEROSIS W/O MCC,89
FL,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,89
FL,"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",89
GA,683 - RENAL FAILURE W CC,88
FL,301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,88
TN,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",88
IL,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,88
PA,638 - DIABETES W CC,88
NY,"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",88
GA,291 - HEART FAILURE & SHOCK W MCC,88
MI,292 - HEART FAILURE & SHOCK W CC,88
TX,811 - RED BLOOD CELL DISORDERS W MCC,88
IL,300 - PERIPHERAL VASCULAR DISORDERS W CC,87
FL,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,87
MI,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",87
TN,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,87
NY,811 - RED BLOOD CELL DISORDERS W MCC,87
PA,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,87
PA,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,87
NY,202 - BRONCHITIS & ASTHMA W CC/MCC,86
TN,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,86
NY,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,86
TN,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,86
FL,176 - PULMONARY EMBOLISM W/O MCC,86
TN,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",86
IL,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,86
MI,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,86
IL,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,86
GA,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,86
FL,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,86
IL,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,86
AL,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,86
PA,389 - G.I. OBSTRUCTION W CC,85
IL,377 - G.I. HEMORRHAGE W MCC,85
IL,389 - G.I. OBSTRUCTION W CC,85
MI,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,85
GA,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,85
FL,203 - BRONCHITIS & ASTHMA W/O CC/MCC,85
MI,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,85
PA,377 - G.I. HEMORRHAGE W MCC,85
IL,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,85
CA,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,85
OH,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,85
MI,291 - HEART FAILURE & SHOCK W MCC,85
CA,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,84
MI,378 - G.I. HEMORRHAGE W CC,84
AL,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",84
GA,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,84
AL,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,84
CA,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,83
TN,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,83
MI,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,83
IL,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",83
NY,536 - FRACTURES OF HIP & PELVIS W/O MCC,83
NC,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",83
NY,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,83
NY,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,83
NC,292 - HEART FAILURE & SHOCK W CC,83
FL,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,83
MI,603 - CELLULITIS W/O MCC,83
NC,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,83
TN,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,83
AL,194 - SIMPLE PNEUMONIA & PLEURISY W CC,83
NC,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,82
NC,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,82
PA,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",82
PA,202 - BRONCHITIS & ASTHMA W CC/MCC,82
NC,194 - SIMPLE PNEUMONIA & PLEURISY W CC,82
IL,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,82
AL,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",82
TN,603 - CELLULITIS W/O MCC,82
MI,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",82
OH,638 - DIABETES W CC,82
OH,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",82
MI,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,82
PA,300 - PERIPHERAL VASCULAR DISORDERS W CC,82
NY,390 - G.I. OBSTRUCTION W/O CC/MCC,82
FL,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,81
CA,602 - CELLULITIS W MCC,81
GA,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,81
NC,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",81
OH,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",81
NC,291 - HEART FAILURE & SHOCK W MCC,81
TX,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,81
TX,176 - PULMONARY EMBOLISM W/O MCC,81
FL,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,81
NC,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,81
TX,390 - G.I. OBSTRUCTION W/O CC/MCC,81
IL,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,80
OH,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,80
NC,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,80
FL,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,80
TN,291 - HEART FAILURE & SHOCK W MCC,80
NC,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,80
MI,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,80
MI,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,80
NC,603 - CELLULITIS W/O MCC,80
PA,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",80
NC,683 - RENAL FAILURE W CC,80
IL,379 - G.I. HEMORRHAGE W/O CC/MCC,80
TX,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,79
TX,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,79
NC,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,79
OH,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,79
NY,305 - HYPERTENSION W/O MCC,79
GA,378 - G.I. HEMORRHAGE W CC,79
PA,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,79
TX,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,79
PA,948 - SIGNS & SYMPTOMS W/O MCC,79
TX,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,78
IN,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",78
IN,194 - SIMPLE PNEUMONIA & PLEURISY W CC,78
NC,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,78
OH,377 - G.I. HEMORRHAGE W MCC,78
IL,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,78
PA,101 - SEIZURES W/O MCC,78
NY,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,78
NC,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,78
NY,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,78
TX,473 - CERVICAL SPINAL FUSION W/O CC/MCC,78
TX,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,78
CA,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,78
FL,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,77
FL,684 - RENAL FAILURE W/O CC/MCC,77
NC,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,77
NC,378 - G.I. HEMORRHAGE W CC,77
CA,536 - FRACTURES OF HIP & PELVIS W/O MCC,77
TX,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,77
AL,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,77
GA,812 - RED BLOOD CELL DISORDERS W/O MCC,77
PA,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",77
OH,948 - SIGNS & SYMPTOMS W/O MCC,77
FL,419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,76
AL,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,76
IN,292 - HEART FAILURE & SHOCK W CC,76
PA,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,76
TN,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,76
IL,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,76
GA,293 - HEART FAILURE & SHOCK W/O CC/MCC,76
AL,292 - HEART FAILURE & SHOCK W CC,76
MI,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,76
NC,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,76
IN,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",76
IL,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",75
MI,293 - HEART FAILURE & SHOCK W/O CC/MCC,75
IL,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,75
NY,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,75
GA,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,75
IN,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,75
MI,312 - SYNCOPE & COLLAPSE,75
IL,176 - PULMONARY EMBOLISM W/O MCC,75
TX,303 - ATHEROSCLEROSIS W/O MCC,75
OH,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,75
FL,602 - CELLULITIS W MCC,74
NC,293 - HEART FAILURE & SHOCK W/O CC/MCC,74
MI,683 - RENAL FAILURE W CC,74
IL,149 - DYSEQUILIBRIUM,74
TX,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,74
NY,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",74
MO,194 - SIMPLE PNEUMONIA & PLEURISY W CC,74
IN,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,74
